filename,filesize_kb,gbl_fileSize_s,sequoia,public_link
Arizona_Level4EcoRegions_2013.zip,2878.11,2.81 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_Level4EcoRegions_2013.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USEPA/Ecoregions/2013/Arizona_Level4EcoRegions_2013.zip
Arizona_MajorLakes_1993.zip,1024.66,1.00 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_MajorLakes_1993.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZSLD/Lakes/1993/Arizona_MajorLakes_1993.zip
Arizona_MajorRivers_1993.zip,2316.42,2.26 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_MajorRivers_1993.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZSLD/Watercourse/1993/Arizona_MajorRivers_1993.zip
Arizona_MajorRiversandPrimaryTribs_1993.zip,6004.38,5.86 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_MajorRiversandPrimaryTribs_1993.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZSLD/Watercourse/1993/Arizona_MajorRiversandPrimaryTribs_1993.zip
Arizona_Mean1st32DegFTempAutumn_1961to1990.zip,49.94,0.05 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_Mean1st32DegFTempAutumn_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Temperature/1990/Arizona_Mean1st32DegFTempAutumn_1961to1990.zip
Arizona_MeanLast32DegFTempSpring_1961to1990.zip,59.78,0.06 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_MeanLast32DegFTempSpring_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Temperature/1990/Arizona_MeanLast32DegFTempSpring_1961to1990.zip
Arizona_MeanNumDaysSnowfall01_1961to1990.zip,114.56,0.11 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_MeanNumDaysSnowfall01_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Snowfall/1990/Arizona_MeanNumDaysSnowfall01_1961to1990.zip
Arizona_MeanNumDaysSnowfall1_1961to1990.zip,116.42,0.11 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_MeanNumDaysSnowfall1_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Snowfall/1990/Arizona_MeanNumDaysSnowfall1_1961to1990.zip
Arizona_MeanNumDaysSnowfall10_1961to1990.zip,27.9,0.03 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_MeanNumDaysSnowfall10_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Snowfall/1990/Arizona_MeanNumDaysSnowfall10_1961to1990.zip
Arizona_MeanNumDaysSnowfall5_1961to1990.zip,42.44,0.04 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_MeanNumDaysSnowfall5_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Snowfall/1990/Arizona_MeanNumDaysSnowfall5_1961to1990.zip
Arizona_MeanRelativeHumidity_1961to1990.zip,62.7,0.06 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_MeanRelativeHumidity_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Humidity/1990/Arizona_MeanRelativeHumidity_1961to1990.zip
